|id|customerLogoUrl|customerName|priceType|isBookmarked|has360Tour|hasVirtualTour|advertisementId|cluster.minPrice|cluster.maxPrice|cluster.minRoom|cluster.maxRoom|cluster.minSurface|cluster.maxSurface|cluster.projectInfo|cluster.bedroomRange|cluster.surfaceRange|flags.main|flags.secondary|flags.percentSold|media.pictures|property.type|property.subtype|property.title|property.bedroomCount|property.location.country|property.location.region|property.location.province|property.location.district|property.location.locality|property.location.postalCode|property.location.street|property.location.number|property.location.box|property.location.propertyName|property.location.floor|property.location.latitude|property.location.longitude|property.location.distance|property.location.approximated|property.location.regionCode|property.location.type|property.location.hasSeaView|property.location.pointsOfInterest|property.location.placeName|property.netHabitableSurface|property.landSurface|property.roomCount|publication.publisherId|publication.visualisationOption|publication.size|transaction.certificateLogoUrl|transaction.certificate|transaction.type|transaction.rental|transaction.sale.lifeAnnuity|transaction.sale.hasStartingPrice|transaction.sale.oldPrice|transaction.sale.price|transaction.sale.pricePerSqm|transaction.sale.publicSale|transaction.sale.toBuild|transaction.sale.isSubjectToVat|price.type|price.mainValue|price.alternativeValue|price.additionalValue|price.oldValue|price.minRangeValue|price.maxRangeValue|price.mainDisplayPrice|price.HTMLDisplayPrice|price.alternativeDisplayPrice|price.oldDisplayPrice|price.shortDisplayPrice|price.accessibilityPrice|price.label|price.date|price.language|cluster.projectInfo.constructor|cluster.projectInfo.groupId|cluster.projectInfo.phase|cluster.projectInfo.projectName|cluster.projectInfo.deliveryDate|cluster.projectInfo.soldPercentage|cluster.projectInfo.unitsDisplayMode|extractDate|extractYear|extractMonth|extractDay
0|10598002|https://static.immoweb.be/logos/1453.gif?cache=2019411210140|Immobilière Le Lion||False|||8022p00000XmhMtAAJ|||||||||||[]||[{'smallUrl': 'https://static.immoweb.be/photos/1/0/5/9/8/0/0/2/10598002_1.gif?cache=20230609042347', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/5/9/8/0/0/2/M_10598002_1.jpg?cache=20230609042347', 'largeUrl': 'https://static.immoweb.be/photos/1/0/5/9/8/0/0/2/10598002_1.jpg?cache=20230609042347', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/5/9/8/0/0/2/10598002_2.gif?cache=20230530140358', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/5/9/8/0/0/2/M_10598002_2.jpg?cache=20230530140358', 'largeUrl': 'https://static.immoweb.be/photos/1/0/5/9/8/0/0/2/10598002_2.jpg?cache=20230530140358', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/5/9/8/0/0/2/10598002_3.gif?cache=20230609042347', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/5/9/8/0/0/2/M_10598002_3.jpg?cache=20230609042347', 'largeUrl': 'https://static.immoweb.be/photos/1/0/5/9/8/0/0/2/10598002_3.jpg?cache=20230609042347', 'isVertical': False}]|HOUSE|VILLA|Observatoire - Superbe Villa Contemporaine 550m²|5.0|Belgique|Bruxelles|Bruxelles|Bruxelles|Uccle|1180||||||||||BRUSSELS|||||340.0|830.0|6.0||XL|xl|||FOR_SALE|||False||2150000.0|||||residential_sale|2150000.0||||||2 150 000 €|"<span aria-hidden=""true"">2 150 000 €</span>"|||2.2M&nbsp;€|2150000€|Prix||fr||||||||2023-06-20 22:14:00.406814|2023|06|20
1|10645721|https://static.immoweb.be/logos/1942392.gif?cache=2018070711780|BATHIM & CO L’IMMOBILIER SUR MESURE||False|||||||||||||new|['new_construction']||[{'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/2/1/10645721_1.gif?cache=20230620031440', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/2/1/M_10645721_1.jpg?cache=20230620031440', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/2/1/10645721_1.jpg?cache=20230620031440', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/2/1/10645721_2.gif?cache=20230620031440', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/2/1/M_10645721_2.jpg?cache=20230620031440', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/2/1/10645721_2.jpg?cache=20230620031440', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/2/1/10645721_3.gif?cache=20230620031440', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/2/1/M_10645721_3.jpg?cache=20230620031440', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/2/1/10645721_3.jpg?cache=20230620031440', 'isVertical': False}]|APARTMENT|PENTHOUSE|PENTHOUSE 3CH NEUF EXCELLENT PEB|3.0|Belgique|Bruxelles|Bruxelles|Bruxelles|Uccle|1180|Rue Groeselenberg|51|||2.0|50.8025842|4.352513|||BRUSSELS||||R Forest Uccle|179.0||4.0||XL|xl|||FOR_SALE|||False||1340000.0|||||residential_sale|1340000.0||||||1 340 000 €|"<span aria-hidden=""true"">1 340 000 €</span>"|||1.3M&nbsp;€|1340000€|Prix||fr||||||||2023-06-20 22:14:00.406814|2023|06|20
2|10643783|https://static.immoweb.be/logos/3851729.gif?cache=2022250801987|FIERCE IMMO||False|||||||||||||new|['new_construction']||[{'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/7/8/3/10643783_1.gif?cache=20230619115923', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/7/8/3/M_10643783_1.jpg?cache=20230619115923', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/7/8/3/10643783_1.jpg?cache=20230619115923', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/7/8/3/10643783_2.gif?cache=20230619115923', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/7/8/3/M_10643783_2.jpg?cache=20230619115923', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/7/8/3/10643783_2.jpg?cache=20230619115923', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/7/8/3/10643783_3.gif?cache=20230619115923', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/7/8/3/M_10643783_3.jpg?cache=20230619115923', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/7/8/3/10643783_3.jpg?cache=20230619115923', 'isVertical': False}]|APARTMENT|DUPLEX|MAGNIFIQUE DUPLEX NEUF - 3CH - DOUBLE TERRASSE - PARKING|3.0|Belgique|Bruxelles|Bruxelles|Bruxelles|Jette|1090|Rue Esseghem|3,3.02|||3.0|50.8773708|4.3359496|||BRUSSELS||||bruxelles|156.0||||XL|xl|||FOR_SALE|||False||489000.0|||||residential_sale|489000.0||||||489 000 €|"<span aria-hidden=""true"">489 000 €</span>"|||489K&nbsp;€|489000€|Prix||fr||||||||2023-06-20 22:14:00.406814|2023|06|20
3|10645586|https://static.immoweb.be/logos/145409.gif?cache=2023130804313|Expertissimmo||False||True|||||||||||new|[]||[{'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/6/10645586_1.gif?cache=20230620024417', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/6/M_10645586_1.jpg?cache=20230620024417', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/6/10645586_1.jpg?cache=20230620024417', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/6/10645586_2.gif?cache=20230620024417', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/6/M_10645586_2.jpg?cache=20230620024417', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/6/10645586_2.jpg?cache=20230620024417', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/6/10645586_3.gif?cache=20230620024417', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/6/M_10645586_3.jpg?cache=20230620024417', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/6/10645586_3.jpg?cache=20230620024417', 'isVertical': False}]|APARTMENT|APARTMENT|PARC HUART HAMOIR / ALBERT GIRAUD- 3E ETAGE- FAIBLES CHARGES|1.0|Belgique|Bruxelles|Bruxelles|Bruxelles|Schaerbeek|1030|Avenue Albert Giraud|108|3||3.0|50.8757524|4.3817224|||BRUSSELS||||Bruxelles Est|70.0||||XL|xl|||FOR_SALE|||False||169000.0|||||residential_sale|169000.0||||||169 000 €|"<span aria-hidden=""true"">169 000 €</span>"|||169K&nbsp;€|169000€|Prix||fr||||||||2023-06-20 22:14:00.406814|2023|06|20
4|10645584|https://static.immoweb.be/logos/145409.gif?cache=2023130804313|Expertissimmo||False||True|||||||||||new|[]||[{'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/4/10645584_1.gif?cache=20230620024415', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/4/M_10645584_1.jpg?cache=20230620024415', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/4/10645584_1.jpg?cache=20230620024415', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/4/10645584_2.gif?cache=20230620024415', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/4/M_10645584_2.jpg?cache=20230620024415', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/4/10645584_2.jpg?cache=20230620024415', 'isVertical': True}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/4/10645584_3.gif?cache=20230620024415', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/4/M_10645584_3.jpg?cache=20230620024415', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/4/10645584_3.jpg?cache=20230620024415', 'isVertical': False}]|APARTMENT|FLAT_STUDIO|CHANT D'OISEAU/15 MIN A PIED DE MONTGOMERY -TERRASSE -PEB=C|0.0|Belgique|Bruxelles|Bruxelles|Bruxelles|Woluwe-Saint-Pierre|1150|Avenue des Volontaires|327|||4.0|50.8301033|4.4118758|||BRUSSELS||||Les Woluwes|46.0||||XL|xl|||FOR_SALE|||False||230000.0|||||residential_sale|230000.0||||||230 000 €|"<span aria-hidden=""true"">230 000 €</span>"|||230K&nbsp;€|230000€|Prix||fr||||||||2023-06-20 22:14:00.406814|2023|06|20
5|10646324||PRIVATE||False|||||||||||||new|[]||[{'smallUrl': 'https://media-resize.immowebstatic.be/classifieds/4ccbdeb4-add0-44e1-8045-badabcc271b5/100x100/1cdbd0a8b425f8933afc107a6cb3e4d4.jpg?cache=20230620080324', 'mediumUrl': 'https://media-resize.immowebstatic.be/classifieds/4ccbdeb4-add0-44e1-8045-badabcc271b5/300x300/1cdbd0a8b425f8933afc107a6cb3e4d4.jpg?cache=20230620080324', 'largeUrl': 'https://media-resize.immowebstatic.be/classifieds/4ccbdeb4-add0-44e1-8045-badabcc271b5/736x736/1cdbd0a8b425f8933afc107a6cb3e4d4.jpg?cache=20230620080324', 'isVertical': False}, {'smallUrl': 'https://media-resize.immowebstatic.be/classifieds/4ccbdeb4-add0-44e1-8045-badabcc271b5/100x100/1ccd6a64d7237186275397eb00e49d5b.jpg?cache=20230620080324', 'mediumUrl': 'https://media-resize.immowebstatic.be/classifieds/4ccbdeb4-add0-44e1-8045-badabcc271b5/300x300/1ccd6a64d7237186275397eb00e49d5b.jpg?cache=20230620080324', 'largeUrl': 'https://media-resize.immowebstatic.be/classifieds/4ccbdeb4-add0-44e1-8045-badabcc271b5/736x736/1ccd6a64d7237186275397eb00e49d5b.jpg?cache=20230620080324', 'isVertical': False}, {'smallUrl': 'https://media-resize.immowebstatic.be/classifieds/4ccbdeb4-add0-44e1-8045-badabcc271b5/100x100/404e9903ebc8ee5aa952ffdb079ddc0b.jpg?cache=20230620080324', 'mediumUrl': 'https://media-resize.immowebstatic.be/classifieds/4ccbdeb4-add0-44e1-8045-badabcc271b5/300x300/404e9903ebc8ee5aa952ffdb079ddc0b.jpg?cache=20230620080324', 'largeUrl': 'https://media-resize.immowebstatic.be/classifieds/4ccbdeb4-add0-44e1-8045-badabcc271b5/736x736/404e9903ebc8ee5aa952ffdb079ddc0b.jpg?cache=20230620080324', 'isVertical': False}]|APARTMENT|APARTMENT|Bel appartement 2 chambres rénové avec 2 terrasses |2.0|Belgique|Bruxelles|Bruxelles|Bruxelles|Molenbeek-Saint-Jean|1080|Boulevard Edmond Machtens - Edmond Machtenslaan|102|||5.0|50.8518128|4.3022899|||BRUSSELS|||||95.0||8.0||XL|xl|||FOR_SALE|||False||259000.0|||||residential_sale|259000.0||||||259 000 €|"<span aria-hidden=""true"">259 000 €</span>"|||259K&nbsp;€|259000€|Prix||fr||||||||2023-06-20 22:14:00.406814|2023|06|20
6|10645650|https://static.immoweb.be/logos/1584.gif?cache=2016061403993|Sorimo  - Bruxelles||False|||||||||||||new|[]||[{'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/6/5/0/10645650_1.gif?cache=20230620030410', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/6/5/0/M_10645650_1.jpg?cache=20230620030410', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/6/5/0/10645650_1.jpg?cache=20230620030410', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/6/5/0/10645650_2.gif?cache=20230620030410', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/6/5/0/M_10645650_2.jpg?cache=20230620030410', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/6/5/0/10645650_2.jpg?cache=20230620030410', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/6/5/0/10645650_3.gif?cache=20230620030410', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/6/5/0/M_10645650_3.jpg?cache=20230620030410', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/6/5/0/10645650_3.jpg?cache=20230620030410', 'isVertical': False}]|APARTMENT|APARTMENT|Roodebeek - Spacieux appt. 3ch de +/- 130 m²|3.0|Belgique|Bruxelles|Bruxelles|Bruxelles|Woluwe-Saint-Lambert|1200|Avenue Paul Hymans|129|||7.0|50.847597|4.4343622|||BRUSSELS||||Est de Bruxelles + VL|130.0||||XL|xl|||FOR_SALE|||False||375000.0|||||residential_sale|375000.0||||||375 000 €|"<span aria-hidden=""true"">375 000 €</span>"|||375K&nbsp;€|375000€|Prix||fr||||||||2023-06-20 22:14:00.406814|2023|06|20
7|10645588|https://static.immoweb.be/logos/145409.gif?cache=2023130804313|Expertissimmo||False||True|||||||||||new|[]||[{'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/8/10645588_1.gif?cache=20230620024419', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/8/M_10645588_1.jpg?cache=20230620024419', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/8/10645588_1.jpg?cache=20230620024419', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/8/10645588_2.gif?cache=20230620024419', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/8/M_10645588_2.jpg?cache=20230620024419', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/8/10645588_2.jpg?cache=20230620024419', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/8/10645588_3.gif?cache=20230620024419', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/8/M_10645588_3.jpg?cache=20230620024419', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/5/8/8/10645588_3.jpg?cache=20230620024419', 'isVertical': False}]|HOUSE|HOUSE|VANDERVELDE - JARDIN (S/O) + GARAGE - 3 FACADES - SUPER ETAT|4.0|Belgique|Bruxelles|Bruxelles|Bruxelles|Woluwe-Saint-Lambert|1200|Rue du Château Kieffelt|6||||50.8481249|4.4429167|||BRUSSELS||||Les Woluwes|239.0|280.0|||XL|xl|||FOR_SALE|||False||845000.0|||||residential_sale|845000.0||||||845 000 €|"<span aria-hidden=""true"">845 000 €</span>"|||845K&nbsp;€|845000€|Prix||fr||||||||2023-06-20 22:14:00.406814|2023|06|20
8|10645700|https://static.immoweb.be/logos/2191.gif?cache=2016101403303|Immodream||False|||||||||||||new|[]||[{'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/0/0/10645700_1.gif?cache=20230620031411', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/0/0/M_10645700_1.jpg?cache=20230620031411', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/0/0/10645700_1.jpg?cache=20230620031411', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/0/0/10645700_2.gif?cache=20230620031411', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/0/0/M_10645700_2.jpg?cache=20230620031411', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/0/0/10645700_2.jpg?cache=20230620031411', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/0/0/10645700_3.gif?cache=20230620031411', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/0/0/M_10645700_3.jpg?cache=20230620031411', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/5/7/0/0/10645700_3.jpg?cache=20230620031411', 'isVertical': False}]|APARTMENT|DUPLEX|FLORIDE: lumineux duplex/penthouse de 4 CH avec garage|4.0|Belgique|Bruxelles|Bruxelles|Bruxelles|Uccle|1180|Avenue de la Floride|70|||1.0|50.8073953|4.3663079|||BRUSSELS||||Bruxelles Sud|200.0||||XL|xl|||FOR_SALE|||False||980000.0|||||residential_sale|980000.0||||||980 000 €|"<span aria-hidden=""true"">980 000 €</span>"|||980K&nbsp;€|980000€|Prix||fr||||||||2023-06-20 22:14:00.406814|2023|06|20
9|10646320|https://static.immoweb.be/logos/3330095.gif?cache=2019510907960|Brussels Sotheby’s Realty - New Development||False||||1700000.0|1700000.0|||285.0|285.0||3|285|new|['new_real_estate_project', 'percent_sold']|50.0|[{'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/6/3/2/0/10646320_1.gif?cache=20230620080351', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/6/3/2/0/M_10646320_1.jpg?cache=20230620080351', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/6/3/2/0/10646320_1.jpg?cache=20230620080351', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/6/3/2/0/10646320_2.gif?cache=20230620080351', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/6/3/2/0/M_10646320_2.jpg?cache=20230620080351', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/6/3/2/0/10646320_2.jpg?cache=20230620080351', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/6/3/2/0/10646320_3.gif?cache=20230620080351', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/6/3/2/0/M_10646320_3.jpg?cache=20230620080351', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/6/3/2/0/10646320_3.jpg?cache=20230620080351', 'isVertical': False}]|APARTMENT_GROUP|APARTMENT_GROUP|Saint-Gilles I Place Stéphanie||Belgique|Bruxelles|Bruxelles|Bruxelles|Saint-Gilles|1060||||||||||BRUSSELS|||||||||XL|xl|||FOR_SALE|||False|||||||group_sale|||||1700000.0|1700000.0|1 700 000 €|"<span aria-hidden=""true"">1 700 000 €</span>"|||1.7M&nbsp;€|1700000€|Prix min - Prix max||fr||10646320.0||King Charles||50.0||2023-06-20 22:14:00.406814|2023|06|20
10|9881253|https://static.immoweb.be/logos/3637588.gif?cache=2020520809623|Promiris||False||||195500.0|265500.0|||22.0|31.0||1|22 - 31||['new_real_estate_project']||[{'smallUrl': 'https://static.immoweb.be/photos/0/9/8/8/1/2/5/3/9881253_1.gif?cache=20220429122045', 'mediumUrl': 'https://static.immoweb.be/photos/0/9/8/8/1/2/5/3/M_9881253_1.jpg?cache=20220429122045', 'largeUrl': 'https://static.immoweb.be/photos/0/9/8/8/1/2/5/3/9881253_1.jpg?cache=20220429122045', 'isVertical': True}, {'smallUrl': 'https://static.immoweb.be/photos/0/9/8/8/1/2/5/3/9881253_2.gif?cache=20220429122045', 'mediumUrl': 'https://static.immoweb.be/photos/0/9/8/8/1/2/5/3/M_9881253_2.jpg?cache=20220429122045', 'largeUrl': 'https://static.immoweb.be/photos/0/9/8/8/1/2/5/3/9881253_2.jpg?cache=20220429122045', 'isVertical': True}, {'smallUrl': 'https://static.immoweb.be/photos/0/9/8/8/1/2/5/3/9881253_3.gif?cache=20220429122045', 'mediumUrl': 'https://static.immoweb.be/photos/0/9/8/8/1/2/5/3/M_9881253_3.jpg?cache=20220429122045', 'largeUrl': 'https://static.immoweb.be/photos/0/9/8/8/1/2/5/3/9881253_3.jpg?cache=20220429122045', 'isVertical': False}]|APARTMENT_GROUP|APARTMENT_GROUP|Résidence étudiante à la Cambre||Belgique|Bruxelles|Bruxelles|Bruxelles|Bruxelles ville|1000|Bvd de la Cambre|25||||50.8161189|4.374468|||BRUSSELS||||Cambre|||||XL|xl|||FOR_SALE|||False|||||||group_sale|||||195500.0|265500.0|195 500 € - 265 500 €|"<span aria-hidden=""true"">195 500 € - 265 500 €</span>"|||195.5K - 265.5K&nbsp;€|De 195500€ À 265500€|Prix min - Prix max||fr||9881253.0||Cambre Student Living||||2023-06-20 22:14:00.406814|2023|06|20
11|10644401|https://static.immoweb.be/logos/2575488.gif?cache=2021371108883|We Invest Bruxelles||False||True|||||||||||new|[]||[{'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/4/4/0/1/10644401_1.gif?cache=20230619162909', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/4/4/0/1/M_10644401_1.jpg?cache=20230619162909', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/4/4/0/1/10644401_1.jpg?cache=20230619162909', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/4/4/0/1/10644401_2.gif?cache=20230619162909', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/4/4/0/1/M_10644401_2.jpg?cache=20230619162909', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/4/4/0/1/10644401_2.jpg?cache=20230619162909', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/4/4/0/1/10644401_3.gif?cache=20230619162909', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/4/4/0/1/M_10644401_3.jpg?cache=20230619162909', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/4/4/0/1/10644401_3.jpg?cache=20230619162909', 'isVertical': False}]|APARTMENT|APARTMENT|Forest - Appartement 2 chambres avec terrasse|2.0|Belgique|Bruxelles|Bruxelles|Bruxelles|Forest|1190|Avenue Van Volxem|241|||2.0|50.8212026|4.3261228|||BRUSSELS||||Bruxelles|93.0||||XL|xl|||FOR_SALE|||False||245000.0|||||residential_sale|245000.0||||||245 000 €|"<span aria-hidden=""true"">245 000 €</span>"|||245K&nbsp;€|245000€|Prix||fr||||||||2023-06-20 22:14:00.406814|2023|06|20
12|10643043|https://static.immoweb.be/logos/1599583.gif?cache=2016061403280|ENGEL & VÖLKERS Pavillon d'Ixelles||False|||||||||||||new|[]||[{'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/0/4/3/10643043_1.gif?cache=20230619022408', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/0/4/3/M_10643043_1.jpg?cache=20230619022408', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/0/4/3/10643043_1.jpg?cache=20230619022408', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/0/4/3/10643043_2.gif?cache=20230619022408', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/0/4/3/M_10643043_2.jpg?cache=20230619022408', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/0/4/3/10643043_2.jpg?cache=20230619022408', 'isVertical': False}, {'smallUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/0/4/3/10643043_3.gif?cache=20230619022408', 'mediumUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/0/4/3/M_10643043_3.jpg?cache=20230619022408', 'largeUrl': 'https://static.immoweb.be/photos/1/0/6/4/3/0/4/3/10643043_3.jpg?cache=20230619022408', 'isVertical': False}]|APARTMENT|GROUND_FLOOR|Appt sur Jardin du Roi & Etangs d'Ixelles-Surprenant jardin!|2.0|Belgique|Bruxelles|Bruxelles|Bruxelles|Ixelles|1050|Rue de Belle-Vue|16|||1.0|50.8212726|4.3728482|||BRUSSELS|||||150.0||||XL|xl|||FOR_SALE|||False||650000.0|||||residential_sale|650000.0||||||650 000 €|"<span aria-hidden=""true"">650 000 €</span>"|||650K&nbsp;€|650000€|Prix||fr||||||||2023-06-20 22:14:00.406814|2023|06|20
13|10644855||PRIVATE||False|||||||||||||new|[]||[{'smallUrl': 'https://media-resize.immowebstatic.be/classifieds/d1b9a286-5f28-46a1-89a0-2885c3b70ed3/100x100/164288f000ca789382da470bbf12ca32.jpg?cache=20230619194153', 'mediumUrl': 'https://media-resize.immowebstatic.be/classifieds/d1b9a286-5f28-46a1-89a0-2885c3b70ed3/300x300/164288f000ca789382da470bbf12ca32.jpg?cache=20230619194153', 'largeUrl': 'https://media-resize.immowebstatic.be/classifieds/d1b9a286-5f28-46a1-89a0-2885c3b70ed3/736x736/164288f000ca789382da470bbf12ca32.jpg?cache=20230619194153', 'isVertical': False}, {'smallUrl': 'https://media-resize.immowebstatic.be/classifieds/d1b9a286-5f28-46a1-89a0-2885c3b70ed3/100x100/f1dc8cbff2da3c213f1e1de0a2312b5c.jpg?cache=20230619194153', 'mediumUrl': 'https://media-resize.immowebstatic.be/classifieds/d1b9a286-5f28-46a1-89a0-2885c3b70ed3/300x300/f1dc8cbff2da3c213f1e1de0a2312b5c.jpg?cache=20230619194153', 'largeUrl': 'https://media-resize.immowebstatic.be/classifieds/d1b9a286-5f28-46a1-89a0-2885c3b70ed3/736x736/f1dc8cbff2da3c213f1e1de0a2312b5c.jpg?cache=20230619194153', 'isVertical': False}, {'smallUrl': 'https://media-resize.immowebstatic.be/classifieds/d1b9a286-5f28-46a1-89a0-2885c3b70ed3/100x100/f37ea4259cbf3f8931e3695b9c450cb2.jpg?cache=20230619194153', 'mediumUrl': 'https://media-resize.immowebstatic.be/classifieds/d1b9a286-5f28-46a1-89a0-2885c3b70ed3/300x300/f37ea4259cbf3f8931e3695b9c450cb2.jpg?cache=20230619194153', 'largeUrl': 'https://media-resize.immowebstatic.be/classifieds/d1b9a286-5f28-46a1-89a0-2885c3b70ed3/736x736/f37ea4259cbf3f8931e3695b9c450cb2.jpg?cache=20230619194153', 'isVertical': False}]|APARTMENT|APARTMENT|Appartement de luxe-rénové. Merode-Montgomery PEB: C|2.0|Belgique|Bruxelles|Bruxelles|Bruxelles|Etterbeek|1040|Avenue De Tervueren - Tervurenlaan|73|||1.0|50.838028|4.402562|||BRUSSELS|||||146.0||||XL|xl|||FOR_SALE|||False||745000.0|||||residential_sale|745000.0||||||745 000 €|"<span aria-hidden=""true"">745 000 €</span>"|||745K&nbsp;€|745000€|Prix||fr||||||||2023-06-20 22:14:00.406814|2023|06|20
